INBGM0211-17	Adatszerkezetek és algoritmusok	6	5	BI_BSC
INBGM0212-17	Programozás 1	6	7	BI_BSC
INBGM0313-17	Statisztika 1	6	7	BI_BSC
INBGM0314-17	Makroökonómia	6	11	BI_BSC
INBGM0315-17	Pénzügyi alapok	6	8	BI_BSC
INBGM0317-17	Programozás 2	6	14	BI_BSC
INBGM0318-17	Adatbázisrendszerek	6	16	BI_BSC
INBGM0416-21	Szervezeti magatartás	3	13	BI_BSC
INBGM0419-17	Statisztika 2	6	12	BI_BSC
INBGM0420-17	Numerikus matematika	6	11	BI_BSC
INBGM0422-21	Információ- és tudásmenedzsment	6	13	BI_BSC
INBGM0423-17	Adatmenedzsment	6	8	BI_BSC
INBGM0424-17	Üzleti intelligencia a gyakorlatban	3	10	BI_BSC
INBGM0525-17	Operációkutatás	3	12	BI_BSC
INBGM0527-21	Kontrolling	3	17	BI_BSC
INBGM0528-17	Adatkezelő programok fejlesztése	3	16	BI_BSC
INBGM0529-17	Szoftverfejlesztés és tesztelés alapjai	6	15	BI_BSC
INBGM0530-21	Az informatikai biztonság alapjai	6	15	BI_BSC
INBGM0631-21	Szakdolgozat 1	6	14	BI_BSC
INBGM0731-21	Szakdolgozat 2	9	16	BI_BSC
INBGM9921-21	Marketing	3	5	BI_BSC
INBGM9926-21	Világgazdasági és integrációs folyamatok	3	6	BI_BSC
INBGM9932-17	Pénzügyi matematika	6	18	BI_BSC
INBGM9933-17	SAP felhasználói alapok	3	9	BI_BSC
INBGM9934-17	Haladó táblázatkezelési ismeretek	3	15	BI_BSC
INBGM9935-17	Nagy mennyiségű adatfeldolgozás	6	5	BI_BSC
INBGM9936-17	Adatvizualizáció	3	15	BI_BSC
INBGM9937-17	Statisztika számítógéppel	3	11	BI_BSC
INBGM9938-17	Vállalati pénzügyek	6	5	BI_BSC
INBGM9939-17	Stratégiai menedzsment 	3	11	BI_BSC
INBGM9940-17	SAP fejlesztői alapok	3	14	BI_BSC
INBGM9941-17	Nemzetközi üzleti ismeretek	3	10	BI_BSC
INBGM9942-17	Döntéstámogató rendszerek	3	13	BI_BSC
INBGM9943-21	Haladó adatbiztonság	3	5	BI_BSC
INBGM9944-17	Digitális marketing	3	16	BI_BSC
INBGM9945-21	Bevezetés a mesterséges intelligenciába	6	6	BI_BSC
INBGM9946-17	Értékteremtő folyamatok menedzsmentje	6	7	BI_BSC
INBGM9947-17	Az információ- és kódelmélet alapjai	3	5	BI_BSC
INBGM9948-17	Az agilis üzleti elemző szerepe és feladatai a szoftverfejlesztésben	3	17	BI_BSC
INBGM9949-17	Bevezetés a Felhőtechnológiákba	3	10	BI_BSC
INBGM9950-21	IT Szolgáltatások gyakorlati megvalósítása nagyvállalati környezetben	6	15	BI_BSC
INBGM9951-17	Vállalat irányítási rendszerek alkalmazása és fejlesztése Microsoft alapokon	3	8	BI_BSC
INBGM9952-17	Etikus hackelés I.	3	15	BI_BSC
INBGM9953-17	Blokklánc technológia	3	17	BI_BSC
INBGM9954-17	Vállalat irányítási rendszerek emelt szintű fejlesztése Microsoft alapokon	3	12	BI_BSC
INBGM9955-17	Szoftverfejlesztés az NI nagyvállalati környezetében	3	12	BI_BSC
INBGM9956-17	Bevezetés a Java programozásba	3	12	BI_BSC
INBGM9957-17	Karriermenedzsment	3	9	BI_BSC
INBGM9958-17	Bevezetés az AWS alapú felhő infrastruktúrába	3	6	BI_BSC
INBGM9959-21	Hálózat- és rendszerbiztonság	3	7	BI_BSC
INBGM9976-21	Matematikai programcsomagok	2	6	BI_BSC
INBGM9985-17	Informatikai szakmai angol nyelv	5	14	BI_BSC
INBGM9986-17	Matematikai versenyfeladatok	3	10	BI_BSC
INBGM9987-17	Informatikai versenyfeladatok	3	7	BI_BSC
INBGM9988-17	Algoritmikus gondolkodás	2	17	BI_BSC
INBGM9997-21	Szakmai gyakorlat	12	11	BI_BSC
INBGM9998-17	Máshol teljesített szakmai kredit	0	9	BI_BSC
INBGM9999-17	Máshol teljesített kredit	0	16	BI_BSC
INBMM0101-24	Algoritmusok és a programozás alapjai	3	18	CSE_BSC
INBMM0102-24	Elektronika	6	18	CSE_BSC
INBMM0104-24	Kalkulus	6	12	CSE_BSC
INBMM0105-24	Matematika mérnököknek 1	6	11	CSE_BSC
INBMM0106-24	A logika és a számítástudomány alapjai	6	8	CSE_BSC
INBMM0120-24	Operációs rendszerek	3	18	CSE_BSC
INBMM0203-24	Fizika	6	11	CSE_BSC
INBMM0207-17	Adatszerkezetek és algoritmusok	6	8	CSE_BSC
INBMM0208-24	Matematika mérnököknek 2	6	6	CSE_BSC
INBMM0209-24	Digitális technika	6	13	CSE_BSC
INBMM0211-21	Programozási nyelvek 1	6	11	CSE_BSC
INBMM0313-17	Valószínűségszámítás és matematikai statisztika	6	7	CSE_BSC
INBMM0314-17	Közgazdasági alapismeretek	6	10	CSE_BSC
INBMM0315-17	Jelek és rendszerek	3	7	CSE_BSC
INBMM0316-17	Mérnöki szoftverfejlesztés és prototípus tervezés grafikus paradigma mentén	3	14	CSE_BSC
INBMM0317-21	Programozási nyelvek 2	6	16	CSE_BSC
INBMM0318-17	Számítógépes hálózatok	6	15	CSE_BSC
INBMM0412-21	Számítógép architektúrák	3	6	CSE_BSC
INBMM0419-17	Adathálózati rendszerek menedzsmentje	3	16	CSE_BSC
INBMM0421-24	Rendszerközeli programozás	3	8	CSE_BSC
INBMM0422-21	Szabályozástechnika	3	9	CSE_BSC
INBMM0424-17	Vállalati információs rendszerek 	3	18	CSE_BSC
INBMM0425-17	Webes megoldások	3	18	CSE_BSC
INBMM0433-21	Adatbázis-kezelés, tudásreprezentáció	6	16	CSE_BSC
INBMM0434-24	IT biztonság	3	8	CSE_BSC
INBMM0435-24	Számítógépes grafika	3	10	CSE_BSC
INBMM0523-21	Szoftverfejlesztés mérnököknek	6	7	CSE_BSC
INBMM0526-24	A mesterséges intelligencia alapjai	6	5	CSE_BSC
INBMM0527-17	Assembly programozás	3	13	CSE_BSC
